# generated by: python3 emission_model.py  (constants/functions imported by _gen_dat.py, same repo, run 2026-09-03)
# generated on: 2026-09-03
# source model: repos/flux-roadmap/supply/emission_model.py, mode=observed
# assumption: post-PON block spacing held at the 30 s target (PON_SPACING,
#   chainparams.cpp:105) for all future-height projections; real spacing may drift.
# assumption: tip height 2,912,015 (~2026-09-03) per task instruction; all years
#   >= 2026 are entirely post-PON-activation (2020000, 2025-10-25), so
#   pow_emission is 0 by construction for every row in this file.
# NOTE: the model has NO finite terminal supply -- after PON year 20
#   (height 23,044,000, ~2045-10-20) the subsidy is FLAT (nPONMaxReductions=20,
#   main.cpp:2811) at 1.70207313 FLUX/block forever; cumulative supply keeps
#   growing linearly without bound at 1,789,219.27 FLUX/year. END_YEAR=2060 here
#   is an arbitrary display horizon, not a convergence point.
# year height cumulative_supply annual_emission pow_emission pon_emission
2026 3264883 434135818.3700 14445642.4000 0.0000 14445642.4000
2027 4316083 447136896.5300 13001078.1600 0.0000 13001078.1600
2028 5370163 458867260.1540 11730363.6240 0.0000 11730363.6240
2029 6421363 469395194.1356 10527933.9816 0.0000 10527933.9816
2030 7472563 478870334.7190 9475140.5834 0.0000 9475140.5834
2031 8523763 487397961.2441 8527626.5251 0.0000 8527626.5251
2032 9577843 495092110.0477 7694148.8036 0.0000 7694148.8036
2033 10629043 501997559.0400 6905448.9922 0.0000 6905448.9922
2034 11680243 508212463.1318 6214904.0918 0.0000 6214904.0918
2035 12731443 513805876.8081 5593413.6763 0.0000 5593413.6763
2036 13785523 518852601.9539 5046725.1458 0.0000 5046725.1458
2037 14836723 523382001.7362 4529399.7823 0.0000 4529399.7823
2038 15887923 527458461.5341 4076459.7980 0.0000 4076459.7980
2039 16939123 531127275.3502 3668813.8161 0.0000 3668813.8161
2040 17993203 534437509.3084 3310233.9581 0.0000 3310233.9581
2041 19044403 537408418.3319 2970909.0235 0.0000 2970909.0235
2042 20095603 540082236.4449 2673818.1130 0.0000 2673818.1130
2043 21146803 542488672.7406 2406436.2957 0.0000 2406436.2957
2044 22200883 544659912.0400 2171239.2994 0.0000 2171239.2994
2045 23252083 546608580.7714 1948668.7314 0.0000 1948668.7314
2046 24303283 548397800.0456 1789219.2743 0.0000 1789219.2743
2047 25354483 550187019.3199 1789219.2743 0.0000 1789219.2743
2048 26408563 551981140.5648 1794121.2449 0.0000 1794121.2449
2049 27459763 553770359.8390 1789219.2743 0.0000 1789219.2743
2050 28510963 555559579.1133 1789219.2743 0.0000 1789219.2743
2051 29562163 557348798.3875 1789219.2743 0.0000 1789219.2743
2052 30616243 559142919.6324 1794121.2449 0.0000 1794121.2449
2053 31667443 560932138.9067 1789219.2743 0.0000 1789219.2743
2054 32718643 562721358.1809 1789219.2743 0.0000 1789219.2743
2055 33769843 564510577.4552 1789219.2743 0.0000 1789219.2743
2056 34823923 566304698.7001 1794121.2449 0.0000 1794121.2449
2057 35875123 568093917.9743 1789219.2743 0.0000 1789219.2743
2058 36926323 569883137.2486 1789219.2743 0.0000 1789219.2743
2059 37977523 571672356.5228 1789219.2743 0.0000 1789219.2743
2060 39031603 573466477.7677 1794121.2449 0.0000 1794121.2449
