# generated by: python3 scripts/07-pnr-settlement.py  (repo: fluxwhitepaper; run 2026-09-07)
# generated on: 2026-09-07
# DENOMINATION: FLUX. No price term. Revenue growth g is a scenario axis, not a forecast.
# subsidy path: as-coded PoN schedule (chainparams.cpp:156-158, main.cpp:2811-2813, per-step integer truncation)
#   HALVED from PA Depletion height 3,787,502 — the computed exhaustion of the 22M-per-chain allocation (plan/conflicts.md C65; author round 33; supersedes 02-pnr.md's 3,466,630). PLANNED, not in fluxd; emission.dat is the as-coded path WITHOUT this cut.
# operator issuance = subsidy * 1,051,200 * 13.5/14 (dev-fund remainder excluded; main.cpp:2877-2884). ASSUMES tier ratios unchanged by the PA cut.
# rho(h) = min(0.50, 0.20 + 0.05*(reductions(h)-1)) for h >= 3,787,502 (settled; height per C65).
# V0 = 1431600 FLUX/yr = 1193 apps * 100 FLUX/month * 12 -- TEAM ASSUMPTION (02-pnr.md), not a measured receipt total.
# pnr_g<X> = rho * V0 * (1+X)^(years since activation), operator PNR income under growth X.
# dates: 30 s spacing from block 2,020,000 timestamp 1761415068 (emission_model.py:179); may drift.
# height date subsidy_flux rho operator_issuance_flux_yr parity_revenue_flux_yr pnr_g000 pnr_g010 pnr_g025 pnr_g050 pnr_g100 pnr_g200
3787502 2027-07-01 6.30000000 0.20 6386040.00 31930200.00 286320.00 286320.00 286320.00 286320.00 286320.00 286320.00
4122400 2027-10-25 5.67000000 0.25 5747436.00 22989744.00 357900.00 368934.14 384269.49 407250.83 446339.94 507885.75
5173600 2028-10-24 5.10300000 0.30 5172692.40 17242308.00 429480.00 486993.06 576404.24 733051.49 1071215.86 1828388.71
6224800 2029-10-24 4.59270000 0.35 4655423.16 13301209.03 501060.00 624974.43 840589.52 1282840.10 2499503.68 6399360.49
7276000 2030-10-24 4.13343000 0.40 4189880.84 10474702.11 572640.00 785682.14 1200842.17 2199154.46 5713151.28 21940664.54
8327200 2031-10-24 3.72008700 0.45 3770892.76 8379761.69 644220.00 972281.65 1688684.30 3711073.16 12854590.38 74049742.82
9378400 2032-10-23 3.34807830 0.50 3393803.48 6787606.97 715800.00 1188344.24 2345394.86 6185121.93 28565756.39 246832476.07
10429600 2033-10-23 3.01327047 0.50 3054423.14 6108846.27 715800.00 1307178.66 2931743.58 9277682.90 57131512.78 740497428.21
11480800 2034-10-23 2.71194342 0.50 2748980.82 5497961.64 715800.00 1437896.53 3664679.47 13916524.35 114263025.56 2221492284.62
12532000 2035-10-23 2.44074907 0.50 2474082.73 4948165.47 715800.00 1581686.18 4580849.34 20874786.52 228526051.13 6664476853.87
13583200 2036-10-22 2.19667417 0.50 2226674.46 4453348.92 715800.00 1739854.80 5726061.67 31312179.78 457052102.25 19993430561.60
14634400 2037-10-22 1.97700674 0.50 2004007.01 4008014.02 715800.00 1913840.28 7157577.09 46968269.67 914104204.50 59980291684.79
15685600 2038-10-22 1.77930607 0.50 1803606.31 3607212.61 715800.00 2105224.31 8946971.36 70452404.51 1828208409.01 179940875054.37
16736800 2039-10-22 1.60137546 0.50 1623245.67 3246491.35 715800.00 2315746.74 11183714.20 105678606.77 3656416818.02 539822625163.12
17788000 2040-10-21 1.44123791 0.50 1460921.10 2921842.20 715800.00 2547321.42 13979642.75 158517910.15 7312833636.03 1619467875489.37
18839200 2041-10-21 1.29711412 0.50 1314828.99 2629657.98 715800.00 2802053.56 17474553.44 237776865.23 14625667272.06 4858403626468.12
19890400 2042-10-21 1.16740270 0.50 1183346.09 2366692.17 715800.00 3082258.91 21843191.80 356665297.84 29251334544.13 14575210879404.36
20941600 2043-10-21 1.05066243 0.50 1065011.48 2130022.95 715800.00 3390484.80 27303989.75 534997946.76 58502669088.25 43725632638212.99
21992800 2044-10-20 0.94559618 0.50 958510.33 1917020.65 715800.00 3729533.28 34129987.18 802496920.15 117005338176.51 131176897914638.98
23044000 2045-10-20 0.85103657 0.50 862659.29 1725318.59 715800.00 4102486.61 42662483.98 1203745380.22 234010676353.02 393530693743917.00
24095200 2046-10-20 0.85103657 0.50 862659.29 1725318.59 715800.00 4512735.27 53328104.97 1805618070.33 468021352706.03 1180592081231750.75
