# generated by: python3 emission_model.py  (constants/functions imported by _gen_dat.py, same repo, run 2026-09-03)
# generated on: 2026-09-03
# source model: emission_model.py pon_year_start_height()/pon_subsidy_sat(),
# citing chainparams.cpp:156-158 (nPONInitialSubsidy=14, nPONSubsidyReductionInterval
# =1051200, nPONMaxReductions=20) and main.cpp:2811-2813 (nSubsidy=(nSubsidy*9)/10
# with C++ integer truncation, applied once per interval).
# n=1..20 (PON_MAX_REDUCTIONS); subsidy_flux is the NEW post-reduction subsidy
# effective starting at `height`. Dates are 30s-spacing extrapolations from the
# PON-activation anchor (block 2020000, 2025-10-25T18:00:35Z); real spacing may drift.
# n height date subsidy_flux
1 3071200 2026-10-25 12.60000000
2 4122400 2027-10-25 11.34000000
3 5173600 2028-10-24 10.20600000
4 6224800 2029-10-24 9.18540000
5 7276000 2030-10-24 8.26686000
6 8327200 2031-10-24 7.44017400
7 9378400 2032-10-23 6.69615660
8 10429600 2033-10-23 6.02654094
9 11480800 2034-10-23 5.42388684
10 12532000 2035-10-23 4.88149815
11 13583200 2036-10-22 4.39334833
12 14634400 2037-10-22 3.95401349
13 15685600 2038-10-22 3.55861214
14 16736800 2039-10-22 3.20275092
15 17788000 2040-10-21 2.88247582
16 18839200 2041-10-21 2.59422823
17 19890400 2042-10-21 2.33480540
18 20941600 2043-10-21 2.10132486
19 21992800 2044-10-20 1.89119237
20 23044000 2045-10-20 1.70207313
