# generated by: python3 emission_model.py  (constants/functions imported by _gen_dat.py, same repo, run 2026-09-03)
# generated on: 2026-09-03
# source model: repos/flux-roadmap/supply/emission_model.py, function pon_subsidy_sat
# and the tier split main.cpp:2886-2939 (PON_CUMULUS/NIMBUS/STRATUS_BASE out of
# PON_TOTAL_BASE=14 FLUX); dev-fund remainder (main.cpp:2877-2884) excluded.
# assumption: annual tier total = annual PON emission (this calendar year) *
#   (tier_base/14); this is exact in the aggregate (ignores <=1-satoshi/block
#   floor-division truncation per fluxnode payout, immaterial at FLUX precision).
# assumption: FIXED fleet size held constant across all projected years, as
#   measured 2026-09-03: cumulus=3246 nimbus=1615 stratus=1627 nodes.
#   per_node income = tier_total_emission / fleet_count for that tier.
# year cumulus_per_node nimbus_per_node stratus_per_node cumulus_total nimbus_total stratus_total total
2026 317.877880 2236.167554 5707.734726 1031831.6000 3611410.6000 9286484.4000 13929726.6000
2027 286.090092 2012.550799 5136.961254 928648.4400 3250269.5400 8357835.9600 12536753.9400
2028 258.127885 1815.845762 4634.878945 837883.1160 2932590.9060 7540948.0440 11311422.0660
2029 231.668295 1629.711143 4159.777234 751995.2844 2631983.4954 6767957.5596 10151936.3394
2030 208.501465 1466.740028 3743.799511 676795.7560 2368785.1459 6091161.8036 9136742.7055
2031 187.651319 1320.066026 3369.419559 609116.1804 2131906.6313 5482045.6233 8223068.4349
2032 169.310554 1191.044706 3040.097429 549582.0574 1923537.2009 4946238.5166 7419357.7749
2033 151.955131 1068.954952 2728.467861 493246.3566 1726362.2481 4439217.2093 6658825.8139
2034 136.759618 962.059457 2455.621074 443921.7208 1553726.0230 3995295.4876 5992943.2314
2035 123.083656 865.853510 2210.058964 399529.5483 1398353.4191 3595765.9348 5393648.9022
2036 111.053718 781.226803 1994.052433 360480.3676 1261681.2864 3244323.3080 4866484.9620
2037 99.669919 701.145477 1789.647820 323528.5559 1132349.9456 2911757.0029 4367635.5044
2038 89.702927 631.030928 1610.683035 291175.6999 1019114.9495 2620581.2987 3930871.9480
2039 80.732634 567.927835 1449.614731 262058.1297 917203.4540 2358523.1675 3537784.7512
2040 72.842046 512.420117 1307.933340 236445.2827 827558.4895 2128007.5445 3192011.3168
2041 65.375166 459.893038 1173.859918 212207.7874 742727.2559 1909870.0866 2864805.1298
2042 58.837649 413.903733 1056.473923 190987.0081 668454.5282 1718883.0726 2578324.6089
2043 52.953884 372.513358 950.826528 171888.3068 601609.0739 1546994.7616 2320492.1423
2044 47.778349 336.105155 857.895939 155088.5214 542809.8248 1395796.6925 2093695.0387
2045 42.880660 301.651506 769.954280 139190.6237 487167.1829 1252715.6130 1879073.4196
2046 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2047 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2048 39.479827 277.727747 708.889771 128151.5175 448530.3112 1153363.6574 1730045.4861
2049 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2050 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2051 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2052 39.479827 277.727747 708.889771 128151.5175 448530.3112 1153363.6574 1730045.4861
2053 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2054 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2055 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2056 39.479827 277.727747 708.889771 128151.5175 448530.3112 1153363.6574 1730045.4861
2057 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2058 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2059 39.371958 276.968928 706.952914 127801.3767 447304.8186 1150212.3906 1725318.5859
2060 39.479827 277.727747 708.889771 128151.5175 448530.3112 1153363.6574 1730045.4861
